Average of Tries,
Country,Total
Argentina,3.757575758
Australia,6.818181818
Canada,3.363636364
England,2.78125
Fiji,3.818181818
France,2.9375
Georgia,4.03030303
Ireland,4.454545455
Italy,3.117647059
Japan,8.129032258
Namibia,3.548387097
New Zealand,9.424242424
Romania,4.677419355,,,,,,
Samoa,2.258064516,,,,,,
Scotland,2.636363636,,,,,,
South Africa,7.6875,,,,,,
Tonga,2.612903226,,,,,,
Uruguay,3.193548387,,,,,,
USA,2.419354839,,,,,,
Wales,3.571428571,,,,,,
Grand Total,4.26625387,,,,,,
SUMMARY STATS,,,,,,,
Country,Avg Weight,Avg No. Caps,Avg Age,Avg Tries,Avg Points,Total Tries,Total Points
Argentina,101,31,27,4,36,124,1172
Australia,105,44,27,7,63,225,2079
Canada,100,26,28,3,37,111,1209
England,104,29,27,3,29,89,914
Fiji,104,22,28,4,25,126,823
France,105,35,29,3,39,94,1235
Georgia,102,38,26,4,45,133,1495
Ireland,104,36,29,4,42,147,1385
Italy,103,39,28,3,20,106,670
Japan,100,36,29,8,62,252,1926
Namibia,102,19,27,4,31,110,971
New Zealand,106,52,28,9,96,311,3173
Romania,102,41,29,5,60,145,1857
Samoa,103,19,29,2,19,70,602
Scotland,104,26,27,3,28,87,926
South Africa,105,46,28,8,71,246,2281
Tonga,105,20,30,3,26,81,801
Uruguay,96,31,27,3,30,99,937
USA,103,21,28,2,20,75,633
Wales,105,36,26,4,34,125,1189
